Id,End,Instructors,Name,Platform,Start,Stream,Url
"7","2012-03-06","Sebastian Thrun;David Evans","CS101 - Building a Search Engine","Udacity","2012-16-04","Computer Science","http://www.udacity.com/overview/Course/cs101"
"47","2012-09-12","Jeremy Adelman","A History of the World since 1300","Coursera","2012-17-09","Humanities and Social Sciences","https://www.coursera.org/course/wh1300"
"8","2012-03-06","Sebastian Thrun","CS373 - Programming a Robotic Car","Udacity","2012-16-04","Computer Science","http://www.udacity.com/overview/Course/cs373"
"54","2012-11-11","Scott E Page","Model Thinking","Coursera","2012-01-09","Complex Systems","https://www.coursera.org/course/modelthinking"
"32","2012-22-07","Dan Boneh","Cryptography","Coursera","2012-11-06","Computer Science","https://www.coursera.org/course/crypto"
"56","2013-15-03","Robert Sedgewick","Introduction to Analytic Combinatorics, Part I","Coursera","2013-01-02","Mathematics and Statistics","https://www.coursera.org/course/introACpartI"
"44","2012-14-10","Andrew Conway","Statistics One","Coursera","2012-03-09","Mathematics and Statistics","https://www.coursera.org/course/stats1"
"39","2012-09-09","Carol Muller","Listening to World Music","Coursera","2012-23-07","Humanities and Social Sciences","https://www.coursera.org/course/worldmusic"
"10","2012-03-06","Wes Weimer","CS262 - Programming Languages - Building a Browser","Udacity","2012-16-04","Computer Science","http://www.udacity.com/overview/Course/cs262"
"31","2012-15-07","Tim Roughgarden","Design and Analysis of Algorithms I","Coursera","2012-11-06","Computer Science","https://www.coursera.org/course/algo"
"3","2012-03-06","Steve Huffman","CS253 - Web Application Engineering - Building a Blog","Udacity","2012-16-04","Computer Science","http://www.udacity.com/overview/Course/cs253"
"38","2012-30-09","Eric Rabkin","Fantasy and Science Fiction: The Human Mind, Our Modern World","Coursera","2012-23-07","Humanities and Social Sciences","https://www.coursera.org/course/fantasysf"
"2","2012-10-06","Michael Genesereth","Introduction to Logic","Coursera","2012-23-04","Computer Science","https://www.coursera.org/course/intrologic"
"21","2012-25-03","Armando Fox;David Patterson","Software Engineering for SaaS","Coursera","2012-20-02","Computer Science","http://www.saas-class.org/"
"40","2012-05-08","Benjamin Abella","Cardiac Arrest, Hypothermia, and Resuscitation Science","Coursera","2012-01-07","Healthcare, Medicine, and Biology","https://www.coursera.org/course/cardiacarrest"
"14","2012-01-07","Alex Aiken","Compilers","Coursera","2012-23-04","Computer Science","https://www.coursera.org/course/compilers"
"55","2012-16-12","Robert Sedgewick;Kevin Wayne","Algorithms, Part II","Coursera","2012-01-11","Computer Science","https://www.coursera.org/course/algs4partII"
"18","2011-14-12","Andrew Ng","Introduction to Machine Learning","Coursera","2011-01-11","Computer Science","http://www.ml-class.org/"
"25","2012-06-05","Chris Manning;Dan Jurafsky","Natural Language Processing","Coursera","2012-12-03","Computer Science","http://www.nlp-class.org/"
"12","2012-03-06","Nick Parlante","CS101","Coursera","2012-23-04","Computer Science","http://www.cs101-class.org/"
"9","2012-03-06","Peter Norvig","CS212 - The Design of Computer Programs","Udacity","2012-16-04","Computer Science","http://www.udacity.com/overview/Course/cs212"
"53","2012-11-11","Silvio Savarese;Fei-Fei Li","Computer Vision: From 3D Reconstruction to Visual Recognition","Coursera","2012-01-09","Computer Science","https://www.coursera.org/course/computervision"
"52","2012-11-11","Michael Kearns","Networked Life","Coursera","2012-01-09","Society, Networks and Information","https://www.coursera.org/course/networks"
"27","2012-06-05","Tim Roughgarden","Design and Analysis of Algorithms I","Coursera","2012-12-03","Computer Science","http://www.algo-class.org/"
"4","2012-17-06","Chuck Eesley","Technology Entrepreneurship",,"2012-16-04","Entrepreneurship","http://eesley.blogspot.com/"
"26","2012-13-06","Dan Boneh","Cryptography","Coursera","2012-12-03","Computer Science","http://www.crypto-class.org/"
"13","2012-01-07","Jitendra Malik","Computer Vision: The Fundamentals","Coursera","2012-23-04","Computer Science","http://www.vision-class.org/"
"16","2012-24-06","Armando Fox;David Patterson","Software Engineering for SaaS","Coursera","2012-18-05","Computer Science","https://www.coursera.org/course/saas"
"45","2012-07-10","J. Alex Halderman","Securing Digital Democracy","Coursera","2012-03-09","Society, Networks and Information","https://www.coursera.org/course/digitaldemocracy"
"41","2012-05-08","Roy Hamilton","Basic Behavioral Neurology","Coursera","2012-01-07","Healthcare, Medicine, and Biology","https://www.coursera.org/course/neurobehavior"
"17","2012-08-07","Scott Klemmer","Human-Computer Interaction","Coursera","2012-28-05","Computer Science","http://www.hci-class.org/"
"6","2012-06-06","Daphne Koller","Probabilistic Graphical Models","Coursera","2012-09-03","Computer Science","http://www.pgm-class.org/"
"46","2012-11-11","Mung Chiang","Networks: Friends, Money, and Bytes","Coursera","2012-03-09","Society, Networks and Information","https://www.coursera.org/course/friendsmoneybytes"
"50","2012-28-10","Lada Adamic","Social Network Analysis","Coursera","2012-01-09","Society, Networks and Information","https://www.coursera.org/course/sna"
"36","2012-02-09","Charles Severance","Internet History, Technology, and Security","Coursera","2012-23-07","Society, Networks and Information","https://www.coursera.org/course/insidetheinternet"
"20","2011-07-12","Jennifer Widom","Introduction to Databases","Coursera","2011-01-11","Computer Science","http://www.db-class.org/"
"19","2011-14-12","Sebastian Thrun;Peter Norvig","Introduction to Artificial Intelligence","Udacity","2011-01-11","Computer Science","https://www.ai-class.com/"
"33","2012-24-06","Ezekiel Emanuel","Health Policy and the Affordable Care Act","Coursera","2012-01-06","Economics, Finance, and Business","https://www.coursera.org/course/healthpolicy"
"34","2012-01-07","Paul Offit","Vaccines","Coursera","2012-01-06","Healthcare, Medicine, and Biology","https://www.coursera.org/course/vaccines"
"35","2012-01-07","Emma Meagher","Fundamentals of Pharmacology","Coursera","2012-01-06","Healthcare, Medicine, and Biology","https://www.coursera.org/course/pharm101"
"42","2012-18-10","Robert Ghrist","Calculus: Single Variable","Coursera","2012-27-08","Mathematics and Statistics","https://www.coursera.org/course/calcsing"
"1","2012-01-07","Andrew Ng","Introduction to Machine Learning","Coursera","2012-23-04","Computer Science","http://jan2012.ml-class.org/"
"49","2012-11-11","David Wentzlaff","Computer Architecture","Coursera","2012-01-09","Computer Science","https://www.coursera.org/course/comparch"
"37","2012-30-09","Gautam Kaul","Introduction to Finance","Coursera","2012-23-07","Economics, Finance, and Business","https://www.coursera.org/course/introfinance"
"51","2012-11-11","Peter Struck","Greek and Roman Mythology","Coursera","2012-01-09","Humanities and Social Sciences","https://www.coursera.org/course/mythology"
"43","2012-16-09","Robert Sedgewick;Kevin Wayne","Algorithms, Part I","Coursera","2012-01-08","Computer Science","https://www.coursera.org/course/algs4partI"
"5","2012-10-06","Anant Agarwal;Gerald Sussman;Piotr Mitros","6.002x - Circuits and Electronics","MITx","2012-05-05","Electrical Engineering","https://6002x.mitx.mit.edu/"
"22","2012-01-06","Scott E Page","Model Thinking","Coursera","2012-20-02","Complex Systems","http://www.modelthinker-class.org/"
"29","2012-27-05","Yaser Abu-Mostafa","Learning from Data","Caltech","2012-03-04","Computer Science","http://work.caltech.edu/telecourse.html"
"24","2012-08-04","Sebastian Thrun;David Evans","CS101 - Building a Search Engine","Udacity","2012-20-02","Computer Science","http://www.udacity.com/overview/Course/cs101"
"23","2012-08-04","Sebastian Thrun","CS373 - Programming a Robotic Car","Udacity","2012-20-02","Computer Science","http://www.udacity.com/overview/Course/cs373"
"30","2012-22-07","Mitchell Duneier","Introduction to Sociology","Coursera","2012-11-06","Humanities and Social Sciences","https://www.coursera.org/course/soc101"
"15","2012-03-06","Jeffrey D. Ullman","Automata Theory","Coursera","2012-23-04","Computer Science","https://www.coursera.org/course/automata"
"28","2012-06-05","Matthew Jackson;Yoav Shoham","Game Theory","Coursera","2012-19-03","Computer Science","http://www.game-theory-class.org/"
"11","2012-03-06","David Evans","CS387 - Applied Cryptography","Udacity","2012-16-04","Computer Science","http://www.udacity.com/overview/Course/cs387"
"57","2013-15-06","Robert Sedgewick","Introduction to Analytic Combinatorics, Part II","Coursera","2013-01-05","Mathematics and Statistics","https://www.coursera.org/course/introACpartII"
"48","2012-11-11","Al Filreis","Modern & Contemporary American Poetry","Coursera","2012-01-09","Humanities and Social Sciences","https://www.coursera.org/course/modernpoetry"
"58","2012-12-08","Andy Brown;Jonathan Burket","PH100 - Intro to Physics: Landmarks in Physics","Udacity","2012-25-06","Physics","http://www.udacity.com/overview/Course/ph100"
"59","2012-12-08","Sebastian Thrun;Adam Sherwin","ST101 - Introduction to Statistics: Making Decisions Based on Data","Udacity","2012-25-06","Mathematics and Statistics","http://www.udacity.com/overview/Course/st101"
"60","2012-12-08","Jonathan Farley;Sarah Norell","CS221 - Logic & Discrete Mathematics: Foundations of Computing","Udacity","2012-25-06","Mathematics and Statistics","http://udacity.com/overview/Course/cs221"
"61","2012-12-08","John Regehr;Sean Bennett","CS258 - Software Testing: How to Make Software Fail","Udacity","2012-25-06","Computer Science","http://udacity.com/overview/Course/cs258"
"62","2012-12-08","Michael Littman;Job Evers","CS215 - Algorithms: Crunching Social Networks ","Udacity","2012-25-06","Computer Science","http://udacity.com/overview/Course/cs215"
,,,,,,,
